,Teams,W,L,W-L%,GB,Metropolitan area,ratio
0,Boston Red Sox,108,54,0.667,--,Boston,0.6666666666666666
1,New York Yankees,100,62,0.617,8.0,New York City,0.6172839506172839
2,Tampa Bay Rays,90,72,0.556,18.0,Tampa Bay Area,0.5555555555555556
3,Toronto Blue Jays,73,89,0.451,35.0,Toronto,0.4506172839506173
4,Baltimore Orioles,47,115,0.29,61.0,Baltimore,0.29012345679012347
5,Cleveland Indians,91,71,0.562,--,Cleveland,0.5617283950617284
6,Minnesota Twins,78,84,0.481,13.0,Minneapolis–Saint Paul,0.48148148148148145
7,Detroit Tigers,64,98,0.395,27.0,Detroit,0.3950617283950617
8,Chicago White Sox,62,100,0.383,29.0,Chicago,0.38271604938271603
9,Kansas City Royals,58,104,0.358,33.0,Kansas City,0.35802469135802467
10,Houston Astros,103,59,0.636,--,Houston,0.6358024691358025
11,Oakland Athletics,97,65,0.599,6.0,San Francisco Bay Area,0.5987654320987654
12,Seattle Mariners,89,73,0.549,14.0,Seattle,0.5493827160493827
13,Los Angeles Angels,80,82,0.494,23.0,Los Angeles,0.49382716049382713
14,Texas Rangers,67,95,0.414,36.0,Dallas–Fort Worth,0.41358024691358025
15,Atlanta Braves,90,72,0.556,--,Atlanta,0.5555555555555556
16,Washington Nationals,82,80,0.506,8.0,"Washington, D.C.",0.5061728395061729
17,Philadelphia Phillies,80,82,0.494,10.0,Philadelphia,0.49382716049382713
18,New York Mets,77,85,0.475,13.0,New York City,0.47530864197530864
19,Miami Marlins,63,98,0.391,26.5,Miami–Fort Lauderdale,0.391304347826087
20,Milwaukee Brewers,96,67,0.589,--,Milwaukee,0.588957055214724
21,Chicago Cubs,95,68,0.583,1.0,Chicago,0.5828220858895705
22,St. Louis Cardinals,88,74,0.543,7.5,St. Louis,0.5432098765432098
23,Pittsburgh Pirates,82,79,0.509,13.0,Pittsburgh,0.5093167701863354
24,Cincinnati Reds,67,95,0.414,28.5,Cincinnati,0.41358024691358025
25,Los Angeles Dodgers,92,71,0.564,--,Los Angeles,0.5644171779141104
26,Colorado Rockies,91,72,0.558,1.0,Denver,0.558282208588957
27,Arizona Diamondbacks,82,80,0.506,9.5,Phoenix,0.5061728395061729
28,San Francisco Giants,73,89,0.451,18.5,San Francisco Bay Area,0.4506172839506173
29,San Diego Padres,66,96,0.407,25.5,San Diego,0.4074074074074074
