,Teams,Metropolitan area,ratio
0,New England Patriots,Boston,0.6875
1,Miami Dolphins,Miami–Fort Lauderdale,0.4375
2,Buffalo Bills,Buffalo,0.375
3,New York Jets,New York City,0.25
4,Baltimore Ravens,Baltimore,0.625
5,Pittsburgh Steelers,Pittsburgh,0.6
6,Cleveland Browns,Cleveland,0.4666666666666667
7,Cincinnati Bengals,Cincinnati,0.375
8,Houston Texans,Houston,0.6875
9,Indianapolis Colts,Indianapolis,0.625
10,Tennessee Titans,Nashville,0.5625
11,Jacksonville Jaguars,Jacksonville,0.3125
12,Kansas City Chiefs,Kansas City,0.75
13,Los Angeles Chargers,Los Angeles,0.75
14,Denver Broncos,Denver,0.375
15,Oakland Raiders,San Francisco Bay Area,0.25
16,Dallas Cowboys,Dallas–Fort Worth,0.625
17,Philadelphia Eagles,Philadelphia,0.5625
18,Washington Redskins,"Washington, D.C.",0.4375
19,New York Giants,New York City,0.3125
20,Chicago Bears,Chicago,0.75
21,Minnesota Vikings,Minneapolis–Saint Paul,0.5333333333333333
22,Green Bay Packers,Green Bay,0.4
23,Detroit Lions,Detroit,0.375
24,New Orleans Saints,New Orleans,0.8125
25,Atlanta Falcons,Atlanta,0.4375
26,Carolina Panthers,Charlotte,0.4375
27,Tampa Bay Buccaneers,Tampa Bay Area,0.3125
28,Los Angeles Rams,Los Angeles,0.8125
29,Seattle Seahawks,Seattle,0.625
30,San Francisco 49ers,San Francisco Bay Area,0.25
31,Arizona Cardinals,Phoenix,0.1875
